 z  pres presi Tabs  
28695.70   14.38   16.36  218.74  
27046.10   18.62   21.18  218.40  
25399.20   24.10   27.38  217.48  
23775.70   31.15   35.03  215.77  
22292.30   39.48   43.32  212.92  
21140.80   47.58   51.03  210.24  
20284.80   54.76   57.99  207.69  
19589.30   61.45   64.71  205.02  
18970.40   68.19   71.64  201.86  
18387.60   75.33   79.09  198.52  
17822.00   83.09   87.24  195.70  
17264.50   91.60   96.15  195.23  
16710.90  100.88  105.82  197.22  
16159.10  110.92  116.25  200.33  
15608.30  121.75  127.49  203.92  
15057.90  133.40  139.58  207.66  
14507.70  145.92  152.56  211.51  
13957.60  159.36  166.47  215.44  
13407.60  173.76  181.36  219.40  
12857.60  189.15  197.28  223.39  
12307.50  205.61  214.29  227.37  
11757.50  223.18  232.43  231.27  
11207.50  241.91  251.78  235.09  
10657.50  261.89  272.40  238.82  
10107.50  283.16  294.34  242.53  
 9557.61  305.79  317.68  246.24  
 9007.61  329.85  342.48  249.96  
 8457.62  355.40  368.81  253.58  
 7907.64  382.54  396.78  256.97  
 7357.70  411.35  426.46  260.23  
 6807.81  441.92  457.95  263.42  
 6258.04  474.35  491.34  266.53  
 5708.50  508.72  526.71  269.53  
 5159.48  545.11  564.13  272.46  
 4611.50  583.59  603.64  275.35  
 4065.68  624.16  645.20  278.17  
 3524.26  666.72  688.59  280.92  
 2991.54  710.96  733.33  283.60  
 2475.32  756.17  778.39  286.16  
 1987.97  801.06  822.22  288.54  
 1545.31  843.77  862.89  290.62  
 1161.79  882.32  898.72  292.37  
  844.45  915.33  928.79  293.86  
  591.33  942.38  953.10  295.22  
  394.27  963.88  972.25  296.49  
  242.99  980.64  987.09  297.62  
  127.66  993.56  998.51  298.62  
   40.00 1003.46 1008.00  299.48  

